Name,Overall Score,Miles,Duration,Highway %,City %,Idle Time,Idling %,Idling Score,Speeding Score,Highway 1-5 %,Highway 6-10 %,Highway 11-14 %,Highway 15+ %,Highway Score,City 1-5 %,City 6-10 %,City 11-14 %,City 15+ %,City Score,Acceleration,Braking,Aggression Score
GXRN,91.7,639.9,28:52:00,0,0,8:02,27.8,72.2,100,0,0,0,0,100,0,0,0,0,100,0,1,94.5
ZQSO,91.7,3535.2,147:17:00,0,0,48:51:00,33.2,66.8,100,0,0,0,0,100,0,0,0,0,100,0,0,100
QQNT,91.7,1968,90:24:00,0,0,29:57:00,33.1,66.9,100,0,0,0,0,100,0,0,0,0,100,0,0,100
UFRZ,91.8,705.3,46:35:00,0,0,13:54,29.8,70.2,100,0,0,0,0,100,0,0,0,0,100,1,0,97.2
CGYF,91.9,1743,81:50:00,0,0,26:31:00,32.4,67.6,100,0,0,0,0,100,0,0,0,0,100,0,0,100
THHH,91.9,473.7,28:21:00,0,0,7:05,25,75,100,0,0,0,0,100,0,0,0,0,100,0,1,92.6
BEYI,91.9,1288,62:27:00,0,0,16:47,26.9,73.1,100,0,0,0,0,100,0,0,0,0,100,0,2,94.6
HUML,92,1009.7,42:00:00,0,0,12:38,30.1,69.9,100,0,0,0,0,100,0,0,0,0,100,1,0,98
ZHWD,92.1,771.1,47:12:00,0,0,13:44,29.1,70.9,100,0,0,0,0,100,0,0,0,0,100,1,0,97.4
AQJB,92.1,420.3,18:52,0,0,5:57,31.5,68.5,100,0,0,0,0,100,0,0,0,0,100,0,0,100
GSLI,92.1,928.1,47:10:00,0,0,14:52,31.5,68.5,100,0,0,0,0,100,0,0,0,0,100,0,0,100
MOHR,92.2,1176,38:48:00,0,0,12:10,31.4,68.6,100,0,0,0,0,100,0,0,0,0,100,0,0,100
NPDU,92.2,1280.9,56:49:00,0,0,17:48,31.3,68.7,100,0,0,0,0,100,0,0,0,0,100,0,0,100
GTRO,92.2,1293.4,77:52:00,0,0,22:05,28.4,71.6,100,0,0,0,0,100,0,0,0,0,100,0,1,97.3
UWTQ,92.2,1023.2,54:04:00,0,0,16:47,31,69,100,0,0,0,0,100,0,0,0,0,100,0,0,100
AYRP,92.3,1140.3,44:45:00,0,0,12:20,27.6,72.4,100,0,0,0,0,100,0,0,0,0,100,0,1,96.9
IOJI,92.4,2372.2,91:40:00,0,0,28:02:00,30.6,69.4,100,0,0,0,0,100,0,0,0,0,100,0,0,100
DVCD,92.4,1290.4,44:56:00,0,0,8:05,18,82,100,0,0,0,0,100,0,0,0,0,100,1,4,87.6
YRYR,92.4,897.8,57:05:00,0,0,16:01,28.1,71.9,100,0,0,0,0,100,0,0,0,0,100,1,0,97.8
TELA,92.4,1645.6,78:03:00,0,0,21:56,28.1,71.9,100,0,0,0,0,100,0,0,0,0,100,0,1,97.9
UUPH,92.5,597,45:10:00,0,0,13:33,30,70,100,0,0,0,0,100,0,0,0,0,100,0,0,100
ZMKC,92.5,1498.7,50:05:00,0,0,15:01,30,70,100,0,0,0,0,100,0,0,0,0,100,0,0,100
CZFF,92.6,613.5,24:14:00,0,0,7:11,29.6,70.4,100,0,0,0,0,100,0,0,0,0,100,0,0,100
XARZ,92.7,3040.1,117:51:00,0,0,26:59:00,22.9,77.1,100,0,0,0,0,100,0,0,0,0,100,8,1,93.6
CFNM,92.8,863.8,39:28:00,0,0,11:26,29,71,100,0,0,0,0,100,0,0,0,0,100,0,0,100
CSCJ,92.8,636.3,44:23:00,0,0,8:57,20.2,79.8,100,0,0,0,0,100,0,0,0,0,100,1,1,91.4
YVRC,92.9,673.6,36:27:00,0,0,10:24,28.5,71.5,100,0,0,0,0,100,0,0,0,0,100,0,0,100
KDRK,92.9,2516.5,81:25:00,0,0,23:07,28.4,71.6,100,0,0,0,0,100,0,0,0,0,100,0,0,100
LSRX,92.9,2818.9,82:39:00,0,0,19:42,23.8,76.2,100,0,0,0,0,100,0,0,0,0,100,1,3,95.6
NJEZ,92.9,2161.2,79:30:00,0,0,21:11,26.6,73.4,100,0,0,0,0,100,0,0,0,0,100,0,1,98.4
UDQN,92.9,2340.7,85:30:00,0,0,24:10:00,28.3,71.7,100,0,0,0,0,100,0,0,0,0,100,0,0,100
VSEV,93,1912.3,71:04:00,0,0,19:59,28.1,71.9,100,0,0,0,0,100,0,0,0,0,100,0,0,100
PICU,93,1748.6,65:31:00,0,0,16:57,25.9,74.1,100,0,0,0,0,100,0,0,0,0,100,0,1,98
MGXE,93.1,1194.7,66:54:00,0,0,18:30,27.7,72.3,100,0,0,0,0,100,0,0,0,0,100,0,0,100
LPZT,93.2,1219.7,77:25:00,0,0,21:06,27.3,72.7,100,0,0,0,0,100,0,0,0,0,100,0,0,100
DJHP,93.2,743,25:09:00,0,0,6:49,27.1,72.9,100,0,0,0,0,100,0,0,0,0,100,0,0,100
EGGT,93.2,994.2,41:27:00,0,0,11:13,27.1,72.9,100,0,0,0,0,100,0,0,0,0,100,0,0,100
WVQP,93.3,425.3,19:50,0,0,2:05,10.5,89.5,100,0,0,0,0,100,0,0,0,0,100,0,2,83.5
JMWZ,93.3,0.7,0:52,0,0,0:14,26.9,73.1,100,0,0,0,0,100,0,0,0,0,100,0,0,100
GUOJ,93.3,2218.8,59:19:00,0,0,15:56,26.9,73.1,100,0,0,0,0,100,0,0,0,0,100,0,0,100
LUPN,93.3,1571.9,62:51:00,0,0,14:02,22.3,77.7,100,0,0,0,0,100,0,0,0,0,100,0,2,95.5
AQYL,93.3,2363.4,76:54:00,0,0,19:22,25.2,74.8,100,0,0,0,0,100,0,0,0,0,100,0,1,98.5
IGNG,93.3,1212.9,71:58:00,0,0,17:05,23.7,76.3,100,0,0,0,0,100,0,0,0,0,100,0,1,97.1
ODGQ,93.4,4179.6,112:03:00,0,0,29:08:00,26,74,100,0,0,0,0,100,0,0,0,0,100,1,0,99.5
XGAU,93.4,1879.8,67:15:00,0,0,15:17,22.7,77.3,100,0,0,0,0,100,0,0,0,0,100,0,2,96.3
UNMN,93.4,1129.3,41:20:00,0,0,10:55,26.4,73.6,100,0,0,0,0,100,0,0,0,0,100,0,0,100
NAQC,93.4,1294.3,56:06:00,0,0,14:47,26.4,73.6,100,0,0,0,0,100,0,0,0,0,100,0,0,100
FQLI,93.4,1708.1,63:57:00,0,0,14:09,22.1,77.9,100,0,0,0,0,100,0,0,0,0,100,0,2,95.9
LEWN,93.5,1322.3,52:51:00,0,0,12:24,23.5,76.5,100,0,0,0,0,100,0,0,0,0,100,0,1,97.4
VVNY,93.6,1634.3,58:22:00,0,0,13:41,23.4,76.6,100,0,0,0,0,100,0,0,0,0,100,0,1,97.9
OPVE,93.7,4814,130:01:00,0,0,31:48:00,24.5,75.5,100,0,0,0,0,100,0,0,0,0,100,0,1,99.3
KEUN,93.7,3965.7,105:33:00,0,0,26:01:00,24.6,75.4,100,0,0,0,0,100,0,0,0,0,100,1,0,99.5
MJIH,93.8,2484.5,71:22:00,0,0,17:41,24.8,75.2,100,0,0,0,0,100,0,0,0,0,100,0,0,100
CHSH,94,238.6,11:05,0,0,1:01,9.2,90.8,100,0,0,0,0,100,0,0,0,0,100,0,1,85.3
SQJU,94.3,2228,71:36:00,0,0,16:27,23,77,100,0,0,0,0,100,0,0,0,0,100,0,0,100
OHXF,94.4,315,6:48,0,0,1:31,22.3,77.7,100,0,0,0,0,100,0,0,0,0,100,0,0,100
CLAL,94.5,2162,71:08:00,0,0,14:31,20.4,79.6,100,0,0,0,0,100,0,0,0,0,100,0,1,98.4
WEAE,94.6,3505.6,96:38:00,0,0,20:56,21.7,78.3,100,0,0,0,0,100,0,0,0,0,100,0,0,100
FQBZ,94.6,4167.3,92:27:00,0,0,17:32,19,81,100,0,0,0,0,100,0,0,0,0,100,0,3,97.5
EOXY,94.7,6.6,0:38,0,0,0:08,21.1,78.9,100,0,0,0,0,100,0,0,0,0,100,0,0,100
MLOM,94.8,2916.9,71:23:00,0,0,14:50,20.8,79.2,100,0,0,0,0,100,0,0,0,0,100,0,0,100
KJDX,95,621.2,22:21,0,0,4:28,20,80,100,0,0,0,0,100,0,0,0,0,100,0,0,100
NQEL,95,592.3,30:50:00,0,0,2:13,7.2,92.8,100,0,0,0,0,100,0,0,0,0,100,2,1,87.3
BMNA,95.1,1872,62:15:00,0,0,11:33,18.6,81.4,100,0,0,0,0,100,0,0,0,0,100,1,0,98.9
LDBV,95.2,1898.7,54:50:00,0,0,10:28,19.1,80.9,100,0,0,0,0,100,0,0,0,0,100,0,0,100
KKLT,95.3,2014.3,73:20:00,0,0,12:30,17,83,100,0,0,0,0,100,0,0,0,0,100,0,1,98.3
JMZQ,95.4,3890.4,101:15:00,0,0,18:02,17.8,82.2,100,0,0,0,0,100,0,0,0,0,100,1,0,99.5
OFXQ,96,980.8,29:35:00,0,0,3:33,12,88,100,0,0,0,0,100,0,0,0,0,100,2,0,95.9
NPRM,96,565.4,23:57,0,0,2:21,9.8,90.2,100,0,0,0,0,100,0,0,0,0,100,0,1,93.8
UZDR,96,2116.7,59:51:00,0,0,9:32,15.9,84.1,100,0,0,0,0,100,0,0,0,0,100,0,0,100
ZYEA,96.2,2675,79:28:00,0,0,11:27,14.4,85.6,100,0,0,0,0,100,0,0,0,0,100,1,0,99.3
PEKG,96.3,1032.9,37:56:00,0,0,5:40,14.9,85.1,100,0,0,0,0,100,0,0,0,0,100,0,0,100
AYXT,96.6,277.2,17:37,0,0,2:25,13.7,86.3,100,0,0,0,0,100,0,0,0,0,100,0,0,100
IDTJ,96.7,2526.3,75:01:00,0,0,8:05,10.8,89.2,100,0,0,0,0,100,0,0,0,0,100,3,0,97.6
WZRZ,97.1,3522.2,78:49:00,0,0,9:15,11.7,88.3,100,0,0,0,0,100,0,0,0,0,100,0,0,100
LPWK,97.1,1772.6,41:12:00,0,0,4:44,11.5,88.5,100,0,0,0,0,100,0,0,0,0,100,0,0,100
ZJTO,97.1,1595.7,38:43:00,0,0,4:25,11.4,88.6,100,0,0,0,0,100,0,0,0,0,100,0,0,100
KEFP,97.2,1203.9,35:32:00,0,0,3:59,11.2,88.8,100,0,0,0,0,100,0,0,0,0,100,0,0,100
KEKY,97.4,2101.6,49:33:00,0,0,5:05,10.3,89.7,100,0,0,0,0,100,0,0,0,0,100,0,0,100
FGEJ,97.6,3747.3,82:40:00,0,0,7:01,8.5,91.5,100,0,0,0,0,100,0,0,0,0,100,0,1,99.1
HOJI,97.9,1539.7,38:36:00,0,0,3:15,8.4,91.6,100,0,0,0,0,100,0,0,0,0,100,0,0,100
HURK,98,4675.2,112:28:00,0,0,8:05,7.2,92.8,100,0,0,0,0,100,0,0,0,0,100,0,1,99.3
MOYM,98.2,1171.5,31:21:00,0,0,2:14,7.1,92.9,100,0,0,0,0,100,0,0,0,0,100,0,0,100
KWHK,98.3,92.1,1:40,0,0,0:07,7,93,100,0,0,0,0,100,0,0,0,0,100,0,0,100
WNWK,98.6,657.8,29:34:00,0,0,1:42,5.7,94.3,100,0,0,0,0,100,0,0,0,0,100,0,0,100
DVEB,98.8,1845.2,51:20:00,0,0,2:33,5,95,100,0,0,0,0,100,0,0,0,0,100,0,0,100
JTEG,99,370.9,13:41,0,0,0:32,3.9,96.1,100,0,0,0,0,100,0,0,0,0,100,0,0,100
VQWZ,99.2,4034.7,101:43:00,0,0,3:18,3.2,96.8,100,0,0,0,0,100,0,0,0,0,100,0,0,100
NNYA,100,0,0:00,0,0,0:00,0,100,100,0,0,0,0,100,0,0,0,0,100,0,0,100
UDAO,100,1.2,0:10,0,0,0:00,0,100,100,0,0,0,0,100,0,0,0,0,100,0,0,100
IQWI,100,0,0:00,0,0,0:00,0,100,100,0,0,0,0,100,0,0,0,0,100,0,0,100
WRIX,100,0,0:00,0,0,0:00,0,100,100,0,0,0,0,100,0,0,0,0,100,0,0,100
NWYQ,100,0,0:00,0,0,0:00,0,100,100,0,0,0,0,100,0,0,0,0,100,0,0,100
UTXH,100,0.3,0:51,0,0,0:00,0,100,100,0,0,0,0,100,0,0,0,0,100,0,0,100
